OccupationTitle,Category,TotalEmployed2011,MedianSalary2011,ProjectedGrowth2020,Education,Experience,Training
Chemical Technicians,"Life, Physical, and Social Science Occupations",59650,42070,6.7,Associate's degree,None,Moderate-term on-the-job training
"Secondary School Teachers, Except Special and Career/Technical Education","Education, Training, and Library Occupations",1004850,54270,6.9,Bachelor's degree,None,Internship/residency
Librarians,"Education, Training, and Library Occupations",145710,55300,6.9,Master's degree,None,None
Gaming Supervisors,Personal Care and Service Occupations,23080,48820,6.9,High school diploma or equivalent,1 to 5 years,None
Avionics Technicians,"Installation, Maintenance, and Repair Occupations",17070,54720,6.9,Postsecondary non-degree award,None,None
Electrical Engineers,Architecture and Engineering Occupations,154250,85920,7,Bachelor's degree,None,None
Purchasing Managers,Management Occupations,66990,97130,7.2,Bachelor's degree,More than 5 years,None
"Rotary Drill Operators, Oil and Gas",Construction and Extraction Occupations,21650,51310,7.2,Less than high school,None,Moderate-term on-the-job training
"Tax Examiners and Collectors, and Revenue Agents",Business and Financial Operations Occupations,67970,50130,7.3,Bachelor's degree,None,Moderate-term on-the-job training
"Special Education Teachers, Secondary School","Education, Training, and Library Occupations",132960,55990,7.3,Bachelor's degree,None,Internship/residency
Appraisers and Assessors of Real Estate,Business and Financial Operations Occupations,60930,48870,7.4,High school diploma or equivalent,None,Apprenticeship
Zoologists and Wildlife Biologists,"Life, Physical, and Social Science Occupations",18380,57420,7.4,Bachelor's degree,None,None
Real Estate Brokers,Sales and Related Occupations,38200,59340,7.6,High school diploma or equivalent,1 to 5 years,None
Natural Sciences Managers,Management Occupations,47510,114770,7.7,Bachelor's degree,More than 5 years,None
Judicial Law Clerks,Legal Occupations,18300,42450,7.7,Doctoral or professional degree,None,None
"Fine Artists, Including Painters, Sculptors, and Illustrators","Arts, Design, Entertainment, Sports, and Media Occupations",11830,44600,7.8,High school diploma or equivalent,None,Long-term on-the-job training
"Managers, All Other",Management Occupations,343560,99540,7.9,High school diploma or equivalent,1 to 5 years,None
Food Scientists and Technologists,"Life, Physical, and Social Science Occupations",12040,58340,8,Bachelor's degree,None,None
"Social Scientists and Related Workers, All Other","Life, Physical, and Social Science Occupations",31520,75160,8.1,Bachelor's degree,None,None
First-Line Supervisors of Fire Fighting and Prevention Workers,Protective Service Occupations,58210,69510,8.2,Postsecondary non-degree award,1 to 5 years,None
Police and Sheriff's Patrol Officers,Protective Service Occupations,636410,54230,8.2,High school diploma or equivalent,None,Moderate-term on-the-job training
Lodging Managers,Management Occupations,29870,47450,8.3,High school diploma or equivalent,1 to 5 years,None
Multimedia Artists and Animators,"Arts, Design, Entertainment, Sports, and Media Occupations",28400,60830,8.3,Bachelor's degree,None,Moderate-term on-the-job training
"Physical Scientists, All Other","Life, Physical, and Social Science Occupations",25790,94990,8.5,Bachelor's degree,None,None
Occupational Health and Safety Specialists,Healthcare Practitioners and Technical Occupations,57950,66270,8.5,Bachelor's degree,None,Moderate-term on-the-job training
Architectural and Engineering Managers,Management Occupations,184530,122190,8.6,Bachelor's degree,More than 5 years,None
Firefighters,Protective Service Occupations,304080,45420,8.6,Postsecondary non-degree award,None,Long-term on-the-job training
"Service Unit Operators, Oil, Gas, and Mining",Construction and Extraction Occupations,46880,40750,8.6,Less than high school,None,Moderate-term on-the-job training
Materials Engineers,Architecture and Engineering Occupations,22160,84550,8.7,Bachelor's degree,None,None
Financial Managers,Management Occupations,477690,107160,8.8,Bachelor's degree,More than 5 years,None
Mechanical Engineers,Architecture and Engineering Occupations,238260,79230,8.8,Bachelor's degree,None,None
"Career/Technical Education Teachers, Middle School","Education, Training, and Library Occupations",16870,54050,8.9,Bachelor's degree,1 to 5 years,Internship/residency
"Wholesale and Retail Buyers, Except Farm Products",Business and Financial Operations Occupations,105610,50490,9,High school diploma or equivalent,None,Long-term on-the-job training
Computer Hardware Engineers,Architecture and Engineering Occupations,71990,98610,9,Bachelor's degree,None,None
Art Directors,"Arts, Design, Entertainment, Sports, and Media Occupations",30680,81260,9,Bachelor's degree,1 to 5 years,None
Industrial Production Managers,Management Occupations,151850,88190,9.1,Bachelor's degree,1 to 5 years,None
"Judges, Magistrate Judges, and Magistrates",Legal Occupations,26570,120130,9.2,Doctoral or professional degree,More than 5 years,Short-term on-the-job training
Fire Inspectors and Investigators,Protective Service Occupations,12560,53330,9.2,High school diploma or equivalent,More than 5 years,Moderate-term on-the-job training
"Derrick Operators, Oil and Gas",Construction and Extraction Occupations,19480,45220,9.3,Less than high school,None,Short-term on-the-job training
"Precision Instrument and Equipment Repairers, All Other","Installation, Maintenance, and Repair Occupations",12230,51730,9.3,Associate's degree,None,Long-term on-the-job training
"Education Administrators, Elementary and Secondary School",Management Occupations,222810,87470,9.8,Master's degree,1 to 5 years,None
"First-Line Supervisors of Protective Service Workers, All Other",Protective Service Occupations,55910,46420,9.9,High school diploma or equivalent,1 to 5 years,None
"Transportation, Storage, and Distribution Managers",Management Occupations,92150,80860,10,High school diploma or equivalent,More than 5 years,None
Lawyers,Legal Occupations,570950,113310,10.1,Doctoral or professional degree,None,None
Nuclear Engineers,Architecture and Engineering Occupations,18430,101930,10.2,Bachelor's degree,None,None
Music Directors and Composers,"Arts, Design, Entertainment, Sports, and Media Occupations",25290,47410,10.2,Bachelor's degree,1 to 5 years,None
Budget Analysts,Business and Financial Operations Occupations,57110,69090,10.4,Bachelor's degree,None,None
Commercial and Industrial Designers,"Arts, Design, Entertainment, Sports, and Media Occupations",28710,60760,10.5,Bachelor's degree,None,None
Riggers,"Installation, Maintenance, and Repair Occupations",13750,43020,10.6,High school diploma or equivalent,None,Short-term on-the-job training
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Production Occupations,20370,45890,10.8,High school diploma or equivalent,None,Moderate-term on-the-job training
Producers and Directors,"Arts, Design, Entertainment, Sports, and Media Occupations",82880,70660,11,Bachelor's degree,1 to 5 years,None
Mechanical Drafters,Architecture and Engineering Occupations,64090,49200,11.1,Associate's degree,None,None
Medical and Clinical Laboratory Technologists,Healthcare Practitioners and Technical Occupations,165220,57010,11.3,Bachelor's degree,None,None
Elevator Installers and Repairers,Construction and Extraction Occupations,20440,75060,11.3,High school diploma or equivalent,None,Apprenticeship
"Media and Communication Workers, All Other","Arts, Design, Entertainment, Sports, and Media Occupations",23610,43580,11.4,High school diploma or equivalent,None,Short-term on-the-job training
"Business Operations Specialists, All Other*",Business and Financial Operations Occupations,967250,64030,11.6,High school diploma or equivalent,Less than 1 year,Long-term on-the-job training
Water and Wastewater Treatment Plant and System Operators,Production Occupations,109190,41780,11.6,High school diploma or equivalent,None,Long-term on-the-job training
Sales Managers,Management Occupations,328230,101640,11.7,Bachelor's degree,1 to 5 years,None
"Life Scientists, All Other","Life, Physical, and Social Science Occupations",10020,64370,11.7,Bachelor's degree,None,None
"Life, Physical, and Social Science Technicians, All Other","Life, Physical, and Social Science Occupations",58890,43120,11.8,Associate's degree,None,Moderate-term on-the-job training
"First-Line Supervisors of Mechanics, Installers, and Repairers","Installation, Maintenance, and Repair Occupations",418530,59850,11.9,High school diploma or equivalent,1 to 5 years,None
Computer Programmers,Computer and Mathematical Occupations,320100,72630,12,Bachelor's degree,None,None
Civil Engineering Technicians,Architecture and Engineering Occupations,71890,46900,12,Associate's degree,None,None
Soil and Plant Scientists,"Life, Physical, and Social Science Occupations",11860,58940,12.1,Bachelor's degree,None,None
Executive Secretaries and Executive Administrative Assistants,Office and Administrative Support Occupations,952030,45580,12.6,High school diploma or equivalent,1 to 5 years,None
Emergency Management Directors,Management Occupations,11050,57270,12.8,Bachelor's degree,1 to 5 years,Long-term on-the-job training
Human Resources Managers,Management Occupations,81750,99130,12.9,Bachelor's degree,1 to 5 years,None
Occupational Health and Safety Technicians,Healthcare Practitioners and Technical Occupations,11090,46030,12.9,High school diploma or equivalent,None,Moderate-term on-the-job training
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Architecture and Engineering Occupations,23170,75470,13,Bachelor's degree,None,None
Advertising Sales Agents,Sales and Related Occupations,144760,45250,13,High school diploma or equivalent,None,Moderate-term on-the-job training
Electrical Power-Line Installers and Repairers,"Installation, Maintenance, and Repair Occupations",105570,60190,13.2,High school diploma or equivalent,None,Long-term on-the-job training
Advertising and Promotions Managers,Management Occupations,30710,87650,13.3,Bachelor's degree,1 to 5 years,None
Microbiologists,"Life, Physical, and Social Science Occupations",17660,65230,13.3,Bachelor's degree,None,None
Graphic Designers,"Arts, Design, Entertainment, Sports, and Media Occupations",191550,44010,13.4,Bachelor's degree,None,None
Audio and Video Equipment Technicians,"Arts, Design, Entertainment, Sports, and Media Occupations",49180,41630,13.4,Postsecondary non-degree award,None,Moderate-term on-the-job training
Marketing Managers,Management Occupations,168410,116010,13.6,Bachelor's degree,1 to 5 years,None
"Education Administrators, All Other",Management Occupations,28090,76730,13.6,Bachelor's degree,1 to 5 years,None
Telecommunications Line Installers and Repairers,"Installation, Maintenance, and Repair Occupations",148930,51720,13.6,High school diploma or equivalent,None,Long-term on-the-job training
"Earth Drillers, Except Oil and Gas",Construction and Extraction Occupations,17020,40200,13.8,High school diploma or equivalent,None,Moderate-term on-the-job training
"Agents and Business Managers of Artists, Performers, and Athletes",Business and Financial Operations Occupations,11950,64790,14,Bachelor's degree,1 to 5 years,None
Statisticians,Computer and Mathematical Occupations,23770,73880,14.1,Master's degree,None,None
Court Reporters,Legal Occupations,18440,48530,14.1,Postsecondary non-degree award,None,Short-term on-the-job training
Loan Officers,Business and Financial Operations Occupations,284530,58030,14.2,High school diploma or equivalent,None,Moderate-term on-the-job training
Physicists,"Life, Physical, and Social Science Occupations",16220,106360,14.2,Doctoral or professional degree,None,None
First-Line Supervisors of Office and Administrative Support Workers,Office and Administrative Support Occupations,1364720,48810,14.3,High school diploma or equivalent,1 to 5 years,None
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Production Occupations,36570,46210,14.3,High school diploma or equivalent,None,Moderate-term on-the-job training
First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,Transportation and Material Moving Occupations,198690,52950,14.3,High school diploma or equivalent,1 to 5 years,None
Sales Engineers,Sales and Related Occupations,65580,89330,14.4,Bachelor's degree,None,Moderate-term on-the-job training
Transportation Inspectors,Transportation and Material Moving Occupations,24810,62230,14.4,"Some college, no degree",None,Short-term on-the-job training
Administrative Services Managers,Management Occupations,249600,79540,14.5,High school diploma or equivalent,1 to 5 years,None
Bus and Truck Mechanics and Diesel Engine Specialists,"Installation, Maintenance, and Repair Occupations",222940,41640,14.5,High school diploma or equivalent,None,Long-term on-the-job training
Training and Development Managers,Management Occupations,27150,91740,14.6,Bachelor's degree,1 to 5 years,None
Operations Research Analysts,Computer and Mathematical Occupations,65030,71950,14.6,Bachelor's degree,None,None
Adult Basic and Secondary Education and Literacy Teachers and Instructors,"Education, Training, and Library Occupations",67770,47370,14.6,Bachelor's degree,None,Internship/residency
"Telecommunications Equipment Installers and Repairers, Except Line Installers","Installation, Maintenance, and Repair Occupations",199240,53960,14.6,Postsecondary non-degree award,None,Moderate-term on-the-job training
Geological and Petroleum Technicians,"Life, Physical, and Social Science Occupations",14680,49690,14.7,Associate's degree,None,Moderate-term on-the-job training
Compliance Officers,Business and Financial Operations Occupations,210510,60740,15,Bachelor's degree,None,Moderate-term on-the-job training
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Building and Grounds Cleaning and Maintenance Occupations,100460,42050,15.1,High school diploma or equivalent,1 to 5 years,None
"Securities, Commodities, and Financial Services Sales Agents",Sales and Related Occupations,307020,72060,15.2,Bachelor's degree,None,Moderate-term on-the-job training
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sales and Related Occupations,1390480,53540,15.6,High school diploma or equivalent,None,Moderate-term on-the-job training
Accountants and Auditors,Business and Financial Operations Occupations,1085150,62850,15.7,Bachelor's degree,None,None
Crane and Tower Operators,Transportation and Material Moving Occupations,41070,46460,15.7,Less than high school,1 to 5 years,Long-term on-the-job training
Landscape Architects,Architecture and Engineering Occupations,15760,63240,16,Bachelor's degree,None,Internship/residency
Urban and Regional Planners,"Life, Physical, and Social Science Occupations",38320,64100,16.2,Master's degree,None,None
"Social Workers, All Other",Community and Social Service Occupations,63110,53900,16.2,Bachelor's degree,None,None
"Mobile Heavy Equipment Mechanics, Except Engines","Installation, Maintenance, and Repair Occupations",109810,45600,16.2,High school diploma or equivalent,None,Long-term on-the-job training
Public Relations and Fundraising Managers,Management Occupations,53200,93310,16.4,Bachelor's degree,1 to 5 years,None
