OccupationTitle,Category,TotalEmployed2011,MedianSalary2011,ProjectedGrowth2020,Education,Experience,Training
Dietitians and Nutritionists,Healthcare Practitioners and Technical Occupations,56130,54470,19.7,Bachelor's degree,None,Internship/residency
"Special Education Teachers, Middle School","Education, Training, and Library Occupations",100590,55000,20.2,Bachelor's degree,None,Internship/residency
Radiation Therapists,Healthcare Practitioners and Technical Occupations,18380,76630,20.3,Associate's degree,None,None
"Captains, Mates, and Pilots of Water Vessels",Transportation and Material Moving Occupations,30220,63920,20.4,Bachelor's degree,None,None
"Human Resources, Training, and Labor Relations Specialists, All Other*",Business and Financial Operations Occupations,436090,54310,20.5,Bachelor's degree,None,None
Private Detectives and Investigators,Protective Service Occupations,26080,43710,20.5,"Some college, no degree",1 to 5 years,Moderate-term on-the-job training
"Dentists, General",Healthcare Practitioners and Technical Occupations,90950,142740,21.1,Doctoral or professional degree,None,Internship/residency
"Geoscientists, Except Hydrologists and Geographers","Life, Physical, and Social Science Occupations",32490,84470,21.2,Bachelor's degree,None,None
Commercial Pilots,Transportation and Material Moving Occupations,31630,70000,21.2,Postsecondary non-degree award,None,None
"Counselors, All Other",Community and Social Service Occupations,27140,42030,21.3,Master's degree,None,None
"Special Education Teachers, Preschool, Kindergarten, and Elementary School*","Education, Training, and Library Occupations",220220,53440,21.3,Bachelor's degree,None,Internship/residency
Boilermakers,Construction and Extraction Occupations,18850,56910,21.3,High school diploma or equivalent,None,Apprenticeship
Industrial Machinery Mechanics,"Installation, Maintenance, and Repair Occupations",292470,46270,21.6,High school diploma or equivalent,None,Long-term on-the-job training
"Information Security Analysts, Web Developers, and Computer Network Architects",Computer and Mathematical Occupations,272670,77990,21.7,Bachelor's degree,1 to 5 years,None
Management Analysts,Business and Financial Operations Occupations,538950,78490,21.9,Bachelor's degree,1 to 5 years,None
Environmental Engineers,Architecture and Engineering Occupations,50350,79050,21.9,Bachelor's degree,None,None
"Clinical, Counseling, and School Psychologists","Life, Physical, and Social Science Occupations",100850,67880,21.9,Doctoral or professional degree,None,Internship/residency
Insurance Sales Agents,Sales and Related Occupations,321780,47450,21.9,High school diploma or equivalent,None,Moderate-term on-the-job training
Structural Iron and Steel Workers,Construction and Extraction Occupations,56920,45690,21.9,High school diploma or equivalent,None,Apprenticeship
Computer Systems Analysts,Computer and Mathematical Occupations,487740,78770,22.1,Bachelor's degree,None,None
Cartographers and Photogrammetrists,Architecture and Engineering Occupations,11240,55970,22.2,Bachelor's degree,None,None
Medical and Health Services Managers,Management Occupations,287560,86400,22.4,Bachelor's degree,None,None
Licensed Practical and Licensed Vocational Nurses,Healthcare Practitioners and Technical Occupations,729140,41150,22.4,Postsecondary non-degree award,None,None
Public Relations Specialists,"Arts, Design, Entertainment, Sports, and Media Occupations",212510,53190,22.5,Bachelor's degree,None,Moderate-term on-the-job training
Financial Analysts,Business and Financial Operations Occupations,226340,75650,23,Bachelor's degree,None,None
Electricians,Construction and Extraction Occupations,512290,49320,23.2,High school diploma or equivalent,None,Apprenticeship
Speech-Language Pathologists,Healthcare Practitioners and Technical Occupations,117210,69100,23.4,Master's degree,None,None
First-Line Supervisors of Construction Trades and Extraction Workers,Construction and Extraction Occupations,459830,59150,23.5,High school diploma or equivalent,More than 5 years,None
Operating Engineers and Other Construction Equipment Operators,Construction and Extraction Occupations,335410,41510,23.5,High school diploma or equivalent,None,Moderate-term on-the-job training
"Environmental Science and Protection Technicians, Including Health","Life, Physical, and Social Science Occupations",30320,42270,23.6,Associate's degree,None,Moderate-term on-the-job training
Survey Researchers,"Life, Physical, and Social Science Occupations",17060,40150,24.1,Bachelor's degree,None,None
Environmental Engineering Technicians,Architecture and Engineering Occupations,19490,44850,24.3,Associate's degree,None,None
Anesthesiologists,Healthcare Practitioners and Technical Occupations,33310,234950,24.4,Doctoral or professional degree,None,Internship/residency
Family and General Practitioners,Healthcare Practitioners and Technical Occupations,101800,167000,24.4,Doctoral or professional degree,None,Internship/residency
"Internists, General",Healthcare Practitioners and Technical Occupations,46740,183170,24.4,Doctoral or professional degree,None,Internship/residency
Obstetricians and Gynecologists,Healthcare Practitioners and Technical Occupations,20540,218610,24.4,Doctoral or professional degree,None,Internship/residency
"Pediatricians, General",Healthcare Practitioners and Technical Occupations,29640,158170,24.4,Doctoral or professional degree,None,Internship/residency
Psychiatrists,Healthcare Practitioners and Technical Occupations,23140,170350,24.4,Doctoral or professional degree,None,Internship/residency
Surgeons,Healthcare Practitioners and Technical Occupations,42340,231550,24.4,Doctoral or professional degree,None,Internship/residency
"Physicians and Surgeons, All Other",Healthcare Practitioners and Technical Occupations,305590,184650,24.4,Doctoral or professional degree,None,Internship/residency
"Architects, Except Landscape and Naval",Architecture and Engineering Occupations,83590,73340,24.5,Bachelor's degree,None,Internship/residency
Curators,"Education, Training, and Library Occupations",10340,48800,24.8,Master's degree,None,None
"Education Administrators, Preschool and Childcare Center/Program",Management Occupations,49320,43830,24.9,Bachelor's degree,1 to 5 years,None
Surveyors,Architecture and Engineering Occupations,42020,55590,25.4,Bachelor's degree,None,None
Pharmacists,Healthcare Practitioners and Technical Occupations,272320,113390,25.4,Doctoral or professional degree,None,None
Logisticians,Business and Financial Operations Occupations,112310,71910,25.5,Bachelor's degree,1 to 5 years,None
"Plumbers, Pipefitters, and Steamfitters",Construction and Extraction Occupations,349320,47750,25.6,High school diploma or equivalent,None,Apprenticeship
Registered Nurses*,Healthcare Practitioners and Technical Occupations,2724570,65950,26,Associate's degree,None,None
Social and Community Service Managers,Management Occupations,115550,58660,26.7,Bachelor's degree,1 to 5 years,None
Actuaries,Computer and Mathematical Occupations,19590,91060,26.7,Bachelor's degree,None,Long-term on-the-job training
Financial Examiners,Business and Financial Operations Occupations,28050,75250,27,Bachelor's degree,None,Moderate-term on-the-job training
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",Transportation and Material Moving Occupations,166560,44580,27.2,High school diploma or equivalent,1 to 5 years,None
"Software Developers, Applications",Computer and Mathematical Occupations,539880,89280,27.6,Bachelor's degree,None,None
Respiratory Therapists,Healthcare Practitioners and Technical Occupations,113980,55250,27.7,Associate's degree,None,None
Network and Computer Systems Administrators*,Computer and Mathematical Occupations,341800,70970,27.8,Bachelor's degree,None,None
Radiologic Technologists and Technicians*,Healthcare Practitioners and Technical Occupations,220540,55120,27.8,Associate's degree,None,None
"Therapists, All Other*",Healthcare Practitioners and Technical Occupations,15720,49120,27.9,Master's degree,None,None
Training and Development Specialists,Business and Financial Operations Occupations,205680,55150,28.3,Bachelor's degree,None,None
Chiropractors,Healthcare Practitioners and Technical Occupations,27510,66060,28.3,Doctoral or professional degree,None,None
Cardiovascular Technologists and Technicians,Healthcare Practitioners and Technical Occupations,50410,51020,29.3,Associate's degree,None,None
"Radio, Cellular, and Tower Equipment Installers and Repairs","Installation, Maintenance, and Repair Occupations",12920,42160,29.4,Associate's degree,None,Moderate-term on-the-job training
Physician Assistants,Healthcare Practitioners and Technical Occupations,83540,88660,29.5,Master's degree,None,None
Athletic Trainers,Healthcare Practitioners and Technical Occupations,18240,42400,30,Bachelor's degree,None,None
Database Administrators,Computer and Mathematical Occupations,108500,75190,30.6,Bachelor's degree,1 to 5 years,None
Biochemists and Biophysicists,"Life, Physical, and Social Science Occupations",25160,79230,30.8,Doctoral or professional degree,None,None
Medical Equipment Repairers,"Installation, Maintenance, and Repair Occupations",34710,44870,31.5,Associate's degree,None,Moderate-term on-the-job training
Personal Financial Advisors,Business and Financial Operations Occupations,161790,66580,32.1,Bachelor's degree,None,None
"Software Developers, Systems Software",Computer and Mathematical Occupations,387050,96600,32.4,Bachelor's degree,None,None
Optometrists,Healthcare Practitioners and Technical Occupations,27950,94690,33.1,Doctoral or professional degree,None,None
Healthcare Social Workers,Community and Social Service Occupations,133890,48620,33.5,Master's degree,None,None
Occupational Therapists,Healthcare Practitioners and Technical Occupations,103570,73820,33.5,Master's degree,None,None
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Installation, Maintenance, and Repair Occupations",231160,43380,33.7,Postsecondary non-degree award,None,Long-term on-the-job training
Tapers,Construction and Extraction Occupations,15340,44910,34.7,Less than high school,None,Moderate-term on-the-job training
Veterinarians,Healthcare Practitioners and Technical Occupations,55410,82900,35.9,Doctoral or professional degree,None,None
Cost Estimators,Business and Financial Operations Occupations,187730,58460,36.4,Bachelor's degree,None,None
"Medical Scientists, Except Epidemiologists","Life, Physical, and Social Science Occupations",95220,76130,36.4,Doctoral or professional degree,None,None
Health Educators,Community and Social Service Occupations,56610,47940,36.5,Bachelor's degree,None,None
Audiologists,Healthcare Practitioners and Technical Occupations,12490,68390,36.8,Doctoral or professional degree,None,None
Dental Hygienists,Healthcare Practitioners and Technical Occupations,184110,69280,37.7,Associate's degree,None,None
Physical Therapists,Healthcare Practitioners and Technical Occupations,185440,78270,39,Doctoral or professional degree,None,None
Brickmasons and Blockmasons,Construction and Extraction Occupations,62560,46800,40.5,High school diploma or equivalent,None,Apprenticeship
Market Research Analysts and Marketing Specialists*,Business and Financial Operations Occupations,318190,60250,41.2,Bachelor's degree,None,None
Marriage and Family Therapists,Community and Social Service Occupations,33990,46240,41.2,Master's degree,None,Internship/residency
Interpreters and Translators,"Arts, Design, Entertainment, Sports, and Media Occupations",47950,44160,42.2,Bachelor's degree,None,Long-term on-the-job training
Occupational Therapy Assistants,Healthcare Support Occupations,29130,52040,43.3,Associate's degree,None,None
Diagnostic Medical Sonographers,Healthcare Practitioners and Technical Occupations,54760,65210,43.5,Associate's degree,None,None
"Meeting, Convention, and Event Planners*",Business and Financial Operations Occupations,64020,46020,43.7,Bachelor's degree,Less than 1 year,None
Physical Therapist Assistants,Healthcare Support Occupations,67550,51040,45.7,Associate's degree,None,None
Biomedical Engineers,Architecture and Engineering Occupations,16590,84670,61.7,Bachelor's degree,None,None
